T,E,C,target
37,0.674,0.409980805,0.288552306
49,0.6741,0.549240707,0.291676575
37,0.6745,0.538619959,0.286080604
37,0.6746,0.49515301,0.286925858
37,0.6752,0.552909598,0.28583017
61,0.6756,0.49026374,0.298691078
37,0.676,0.513410345,0.286624818
37,0.6761,0.513410345,0.286628563
13,0.6764,0.5773914,0.273768014
61,0.6771,0.414081531,0.300222109
61,0.6779,0.460299722,0.299357289
25,0.6779,0.550383544,0.280163604
49,0.6783,0.590253746,0.291039827
43,0.679,0.573303821,0.288485901
31,0.679,0.590380725,0.282338735
37,0.6793,0.489290332,0.287215333
25,0.6795,0.550383544,0.28022351
37,0.6795,0.495334112,0.287105815
73,0.6798,0.463262358,0.305187634
37,0.6802,0.55218444,0.286031416
43,0.6806,0.671954757,0.28663595
37,0.6806,0.566008268,0.285778767
37,0.6809,0.523704559,0.286608988
49,0.6809,0.605894304,0.290834377
37,0.6813,0.556215181,0.285994567
19,0.6817,0.639200077,0.275678134
49,0.682,0.498541256,0.292953891
37,0.6822,0.517817304,0.286771638
19,0.6826,0.525866582,0.27790594
19,0.6829,0.676653426,0.274997976
43,0.6829,0.545482976,0.289170527
31,0.6831,0.640579748,0.281520404
31,0.6836,0.644274035,0.281467604
49,0.6843,0.562512687,0.291801536
25,0.6844,0.594537554,0.279552162
37,0.6844,0.444227646,0.288278687
49,0.6846,0.548846657,0.292077339
37,0.685,0.545364781,0.286343162
49,0.685,0.553041444,0.292011105
37,0.6863,0.607078557,0.285197072
37,0.6864,0.53726904,0.286552311
37,0.6866,0.510794807,0.287072334
37,0.6867,0.546243499,0.286389801
31,0.6871,0.573687427,0.282965189
37,0.6872,0.611700323,0.285141294
37,0.6873,0.620584308,0.284973046
37,0.6875,0.596798315,0.285441025
37,0.6878,0.571920863,0.285933879
25,0.6879,0.486755572,0.28176984
37,0.688,0.545364781,0.286455486
37,0.688,0.648967685,0.28444976
37,0.6881,0.523704559,0.286878567
61,0.6882,0.541848119,0.29816418
49,0.6883,0.464428892,0.293850179
37,0.6883,0.477758645,0.287775557
37,0.6885,0.48744922,0.287595438
37,0.6886,0.638591331,0.284673108
37,0.6887,0.631700451,0.284810258
49,0.6888,0.496498596,0.293248039
49,0.6889,0.506015847,0.293067531
25,0.6889,0.59794512,0.27965468
49,0.689,0.454294803,0.294072582
61,0.6891,0.500756772,0.298993396
13,0.6893,0.617578494,0.273472997
49,0.6898,0.568971037,0.291882432
37,0.6904,0.61406555,0.285215316
61,0.6908,0.495348858,0.299161742
37,0.6909,0.592646348,0.285648707
37,0.6909,0.634466866,0.284839072
37,0.6913,0.598204874,0.285556072
25,0.6914,0.597183868,0.279763021
49,0.6914,0.458329545,0.29408433
31,0.6915,0.588781421,0.282837715
49,0.6916,0.490408263,0.293470782
61,0.6916,0.462064601,0.29983607
49,0.6918,0.475092118,0.293774787
31,0.6919,0.567650779,0.283261776
37,0.692,0.564601709,0.28623283
37,0.6921,0.488616681,0.287707625
37,0.6922,0.603496159,0.285487332
49,0.6922,0.568648584,0.291978534
37,0.6925,0.44859772,0.288497359
49,0.6925,0.457824884,0.294135285
37,0.6929,0.490269514,0.28770558
61,0.6929,0.415229288,0.300791464
49,0.6929,0.520844837,0.292930211
37,0.693,0.555901166,0.286438712
49,0.6931,0.53244712,0.292713082
61,0.6931,0.460002443,0.299932155
61,0.6932,0.442020782,0.30028402
37,0.6933,0.53770125,0.28680229
37,0.6934,0.513410345,0.2872763
37,0.6939,0.519680353,0.287173635
49,0.694,0.583894903,0.291750764
37,0.6941,0.531005273,0.286961876
25,0.6945,0.50044509,0.281751928
25,0.6946,0.469960469,0.282345847
37,0.6948,0.464058327,0.288284161
37,0.695,0.531534864,0.28698532
37,0.6951,0.503130103,0.287538974
37,0.6952,0.457540168,0.288425328
49,0.6956,0.500443521,0.293426268
61,0.6958,0.437177519,0.300475132
13,0.6958,0.50095944,0.275974082
49,0.6959,0.571579276,0.29206033
73,0.6959,0.535099627,0.30439969
61,0.6959,0.426883305,0.30067817
37,0.6961,0.505772432,0.28752526
61,0.6966,0.56592104,0.298012643
61,0.6969,0.562477634,0.298090539
61,0.6969,0.482099012,0.299646649
49,0.6971,0.428942573,0.294866671
61,0.6976,0.586564528,0.297650431
37,0.6976,0.513424317,0.287433284
37,0.6977,0.556637303,0.286600435
37,0.698,0.457540168,0.288530164
61,0.6981,0.501190613,0.29932197
49,0.6992,0.53136725,0.292962381
49,0.6995,0.536658535,0.292871176
49,0.6995,0.491478039,0.293745859
61,0.6998,0.464681658,0.300092425
61,0.6998,0.565667505,0.298137364
61,0.6998,0.512841384,0.299160064
61,0.7059,0.453027711,0.300546435
49,0.7085,0.46733662,0.294550204
21,0.7094,0.625275862,0.27795426
25,0.7246,0.564939515,0.281630321
61,0.7273,0.414292587,0.302097585
61,0.7357,0.408876412,0.30251695
61,0.754,0.440886099,0.302582429
61,0.7561,0.451235372,0.302460697
49,0.7587,0.451124829,0.296743623
37,0.7735,0.567947428,0.289219538
61,0.7824,0.453163978,0.30340807
55,0.7879,0.425338968,0.301244403
36,0.7895,0.477339467,0.291088036
61,0.7947,0.478702447,0.303374182
61,0.7974,0.413324651,0.304740972
37,0.6931,0.488147286,0.287754154
19,0.2987,0.59163334,0.262258928
25,0.3129,0.513264479,0.267216079
25,0.3375,0.501914905,0.268356864
37,0.364,0.598204874,0.273301476
43,0.3772,0.57303205,0.277191324
25,0.4064,0.59693608,0.269096996
43,0.4176,0.566250439,0.27883525
49,0.4377,0.616387336,0.281525467
25,0.4681,0.577771853,0.27177815
49,0.5263,0.554075162,0.28604913
25,0.5395,0.474621494,0.276448437
37,0.5416,0.661012769,0.278735137
31,0.5595,0.621006831,0.277271564
31,0.5664,0.535468145,0.279185918
25,0.5745,0.593585551,0.275455774
37,0.5946,0.457575064,0.284658039
49,0.595,0.496372024,0.289738478
37,0.595,0.639032992,0.281160035
49,0.607,0.532516151,0.289488035
37,0.6077,0.541822275,0.283517518
49,0.6123,0.505528249,0.290208953
37,0.6412,0.440237429,0.286738464
37,0.6578,0.523704559,0.28574409
49,0.6701,0.425304503,0.293926183
49,0.6738,0.500443521,0.292610044
49,0.682,0.602867916,0.290934153
43,0.689,0.53976886,0.289509544
37,0.6899,0.552199786,0.286394301
61,0.6903,0.494019036,0.299168766
49,0.6924,0.474352594,0.293811569
49,0.6951,0.500930676,0.293398116
49,0.696,0.424430418,0.294912839
43,0.6976,0.63733153,0.287942752
37,0.6977,0.545606952,0.28681398
37,0.6721,0.507572254,0.286591821
25,0.3062,0.491653994,0.267383595
13,0.1152,0.653780113,0.251276989
25,0.1237,0.514448679,0.260109225
13,0.1272,0.639406634,0.252004554
13,0.1339,0.635635057,0.252328428
13,0.1343,0.572700323,0.253561806
19,0.1367,0.563777303,0.256732694
13,0.1374,0.538870162,0.254332818
13,0.1397,0.563777303,0.253936737
25,0.1411,0.587009736,0.259355943
13,0.1419,0.561201927,0.254068967
13,0.1423,0.566350141,0.253984276
13,0.1426,0.535454603,0.254593638
25,0.1439,0.595223672,0.259301759
13,0.1457,0.641931966,0.252648331
13,0.1488,0.55342803,0.254477814
13,0.1525,0.651704036,0.252713748
25,0.1598,0.535064424,0.261061747
37,0.1602,0.607331743,0.265494208
19,0.1613,0.534202392,0.258226317
13,0.1621,0.57131784,0.254629443
13,0.1643,0.564843201,0.254837162
13,0.1672,0.596372036,0.254335352
13,0.1692,0.559326653,0.255127424
13,0.1706,0.591647312,0.254554123
19,0.1714,0.541551996,0.258462189
19,0.1719,0.554562959,0.258229021
19,0.1736,0.623766076,0.256952917
13,0.1759,0.609455387,0.254407802
19,0.1789,0.559684066,0.258391968
19,0.1798,0.60728787,0.257504068
25,0.1817,0.448320695,0.263561052
37,0.1851,0.575946503,0.267034111
13,0.1887,0.458674991,0.257806124
25,0.1888,0.665052001,0.259631023
19,0.1893,0.609227188,0.257822217
25,0.1932,0.559744771,0.261834487
13,0.1939,0.61953674,0.254886577
25,0.1942,0.603865793,0.261017757
37,0.1987,0.602895363,0.267021592
25,0.1994,0.522112465,0.262795176
25,0.1996,0.574050298,0.261797161
13,0.2001,0.686023698,0.253831543
25,0.2007,0.611079303,0.261121474
49,0.2016,0.469847238,0.275522513
25,0.2047,0.494927912,0.263519902
25,0.205,0.672776354,0.260088033
37,0.2061,0.566181407,0.268009432
13,0.2069,0.649568698,0.254791905
25,0.2071,0.662044149,0.260374433
13,0.2076,0.531889257,0.257096358
19,0.2112,0.539054551,0.26000071
13,0.2134,0.522738315,0.257490679
13,0.2153,0.563777303,0.256767313
19,0.2164,0.679761864,0.257471347
13,0.2181,0.587930586,0.256404548
37,0.2187,0.570876857,0.268390292
25,0.2213,0.473592204,0.264554485
25,0.2217,0.644093424,0.2612686
25,0.222,0.640579748,0.261347857
13,0.2223,0.676490648,0.254847301
19,0.2228,0.617454085,0.258917236
19,0.2234,0.638208587,0.258537899
25,0.2274,0.528977572,0.263710631
13,0.228,0.553414058,0.25744345
19,0.2283,0.63317224,0.258818865
19,0.2302,0.521609015,0.26104984
25,0.2314,0.663552711,0.261255056
13,0.2329,0.681512596,0.255146957
13,0.2335,0.543634943,0.257838699
19,0.2353,0.67342822,0.258301609
37,0.2379,0.571541724,0.269096297
25,0.2389,0.598574508,0.262793829
25,0.2408,0.598574508,0.262864967
19,0.2414,0.578108092,0.260375376
49,0.2418,0.441300481,0.277580319
13,0.2427,0.683777493,0.255470036
37,0.2435,0.596844928,0.268816106
25,0.2466,0.690293651,0.261306468
25,0.2466,0.592350298,0.263202627
19,0.2467,0.545276444,0.261209429
19,0.2469,0.64649455,0.259257359
19,0.2473,0.563777303,0.260873721
13,0.2474,0.681187389,0.255696155
37,0.2486,0.615656693,0.268642866
25,0.2501,0.588294266,0.263412196
25,0.2507,0.565886171,0.263868476
13,0.2514,0.5563653,0.258262445
19,0.254,0.681187389,0.258851549
37,0.2557,0.556457352,0.270054785
13,0.2563,0.521081123,0.259129001
49,0.2575,0.429419375,0.278398165
25,0.2577,0.577771853,0.263900463
13,0.2578,0.594276022,0.257768128
13,0.258,0.626279615,0.257156035
25,0.2581,0.59334338,0.263613978
13,0.2583,0.563777303,0.258377297
25,0.2588,0.691329792,0.261743195
37,0.26,0.570300611,0.269947781
19,0.2602,0.654382984,0.259602613
13,0.2628,0.598839076,0.257866996
13,0.2668,0.627859314,0.257454938
25,0.2676,0.626271377,0.263332195
25,0.2677,0.621328571,0.26343163
37,0.27,0.634658469,0.269076244
25,0.2701,0.657461004,0.262821975
25,0.2706,0.518300826,0.265534802
25,0.2707,0.570174546,0.264534284
13,0.2719,0.550798519,0.259137767
25,0.274,0.638503671,0.263335006
25,0.274,0.542047007,0.265202383
37,0.2753,0.623049898,0.269499423
13,0.2761,0.618392261,0.257986423
25,0.2766,0.591247548,0.264347221
19,0.2768,0.639437318,0.260513486
37,0.2778,0.627442885,0.26950798
19,0.278,0.685770163,0.259661423
19,0.2789,0.651593022,0.260356782
25,0.2794,0.633744151,0.263629333
13,0.2795,0.603090071,0.258409971
37,0.282,0.58969703,0.270395984
19,0.283,0.52564725,0.262948571
25,0.2862,0.50364913,0.266402542
25,0.2865,0.555304944,0.265413731
19,0.2869,0.538082806,0.262853843
25,0.2872,0.625539986,0.264080207
25,0.2883,0.617223716,0.264282394
19,0.2896,0.541976512,0.262879554
25,0.2899,0.535468145,0.265925068
19,0.2924,0.606254152,0.261739991
25,0.2924,0.638828878,0.264017633
25,0.2966,0.580973088,0.265294961
37,0.2981,0.611700323,0.270572814
31,0.2982,0.573445256,0.268408885
19,0.2986,0.596856881,0.262154057
25,0.2987,0.544761087,0.266074644
25,0.2997,0.683381804,0.263428423
25,0.3011,0.698987541,0.263178717
13,0.3014,0.615177171,0.258995936
31,0.3019,0.583967668,0.268343708
25,0.302,0.655522567,0.264053886
19,0.3024,0.688035059,0.260531148
19,0.3034,0.560703523,0.263033696
25,0.3042,0.583792464,0.265524934
25,0.3077,0.621314599,0.26492956
31,0.3088,0.419379397,0.271788442
13,0.3089,0.546065322,0.260614735
37,0.3091,0.577564399,0.271645533
37,0.3097,0.575629445,0.271705458
25,0.3109,0.547436833,0.266479628
37,0.3116,0.535114905,0.272560948
13,0.3116,0.674470579,0.258229933
37,0.3118,0.571541724,0.271863222
37,0.3118,0.627340882,0.270782965
19,0.3135,0.566978539,0.263290372
13,0.3141,0.609455387,0.259582215
25,0.3147,0.6887073,0.263886944
25,0.3151,0.609899428,0.265427622
19,0.3153,0.540745887,0.263865625
15,0.3155,0.662117169,0.259584541
25,0.3156,0.642909224,0.264807281
19,0.3161,0.525212081,0.264196308
37,0.3166,0.543230942,0.272591031
25,0.3208,0.58302972,0.266161229
37,0.3222,0.589035476,0.271913939
25,0.3227,0.518528436,0.267481097
37,0.3237,0.555658995,0.272616262
31,0.3247,0.636647389,0.268177507
37,0.3247,0.629979264,0.271214881
37,0.3257,0.558394666,0.272638183
19,0.3265,0.63169277,0.26252426
25,0.3265,0.615212354,0.265751598
37,0.33,0.581237788,0.272356944
31,0.3306,0.577771853,0.269538228
